Sno,Ticker ,AccountsPayable,AccountsReceivable,AfterTaxROE,EarningsBeforeTax,EffectofExchangeRate,GrossMargin,GrossProfit,IncomeTax,Investments,LongTermDebt,LongTermInvestments,NetBorrowings,NetIncome,ProfitMargin,TotalRevenue,ForYear,EarningsPerShare
0,AAL,3068000000,-222000000,23,-2445000000,0,58,14356000000,-569000000,306000000,7116000000,0,-1020000000,-1876000000,8,24855000000,2012,-5.6
1,AAL,4975000000,-93000000,67,-2180000000,0,59,15724000000,-346000000,-1181000000,15353000000,0,2208000000,-1834000000,7,26743000000,2013,-11.25
2,AAL,4668000000,-160000000,143,3212000000,0,63,27030000000,330000000,1799000000,16043000000,0,170000000,2882000000,7,42650000000,2014,4.02
3,AAL,5102000000,352000000,135,4616000000,0,73,29894000000,-2994000000,443000000,18330000000,0,2856000000,7610000000,19,40990000000,2015,11.39
4,AAP,2409453000,-89482000,32,624074000,0,50,3098036000,236404000,0,604461000,0,177445000,387670000,6,6205003000,2012,5.29
5,AAP,2609239000,-32428000,26,626398000,0,50,3252146000,234640000,0,1052668000,0,445679000,391758000,6,6493814000,2013,5.36
6,AAP,3616038000,-48209000,25,781394000,-4465000,45,4453613000,287569000,0,1636311000,0,599619000,493825000,5,9843861000,2014,6.75
7,AAP,3757085000,-21476000,19,752888000,-4213000,45,4422772000,279490000,0,1213161000,0,-426322000,473398000,5,9737018000,2015,6.45
8,AAPL,36223000000,-1949000000,30,50155000000,0,38,64304000000,13118000000,-24042000000,16960000000,1.06E+11,16896000000,37037000000,22,1.71E+11,2013,40.03
9,AAPL,48649000000,-6452000000,35,53483000000,0,39,70537000000,13973000000,-9027000000,28987000000,1.30E+11,18266000000,39510000000,22,1.83E+11,2014,6.49
10,AAPL,60671000000,-3124000000,45,72515000000,0,40,93626000000,19121000000,-44417000000,53329000000,1.64E+11,29305000000,53394000000,23,2.34E+11,2015,9.28
11,AAPL,59321000000,1044000000,36,61372000000,0,39,84263000000,15685000000,-32022000000,75427000000,1.70E+11,22057000000,45687000000,21,2.16E+11,2016,8.35
12,ABBV,5734000000,223000000,1507,5725000000,16000000,75,13872000000,450000000,-1397000000,14630000000,119000000,15586000000,5275000000,29,18380000000,,
13,ABBV,6448000000,681000000,92,5332000000,-10000000,76,14209000000,1204000000,1775000000,14292000000,118000000,-601000000,4128000000,22,18790000000,2013,2.58
14,ABBV,6954000000,-172000000,102,2369000000,-577000000,78,15534000000,595000000,308000000,10538000000,92000000,-5000000,1774000000,9,19960000000,2014,1.11
15,ABBV,8463000000,-1076000000,130,6645000000,-300000000,80,18359000000,1501000000,29000000,29240000000,145000000,16623000000,5144000000,23,22859000000,2015,3.15
16,ABC,14870635000,-2312518000,19,824458000,0,3,2507819000,331023000,0,1396606000,0,0,433707000,0,87959167000,2013,1.88
17,ABC,17250160000,-938286000,14,669863000,0,2,2982366000,388087000,-117794000,1995632000,0,566402000,274230000,0,1.20E+11,2014,1.22
18,ABC,21578227000,-1478793000,22,268964000,0,3,3529313000,407129000,-86214000,3739225000,0,1496390000,-138165000,0,1.36E+11,2015,-0.62
19,ABC,24670159000,-912724000,67,1390910000,0,3,4272606000,-37019000,40712000,3870244000,0,713214000,1427929000,1,1.47E+11,2016,6.73
20,ABT,10889000000,36000000,22,-220000000,40000000,53,10151000000,-457000000,-3062000000,18085000000,274000000,4413000000,5963000000,31,19050000000,2012,3.76
21,ABT,5948000000,-113000000,10,2041000000,-26000000,53,10464000000,53000000,-2225000000,3388000000,119000000,1792000000,2576000000,13,19657000000,2013,1.64
22,ABT,5350000000,-195000000,11,2518000000,-143000000,54,11029000000,797000000,4117000000,3393000000,229000000,766000000,2284000000,11,20247000000,2014,1.5
23,ABT,5683000000,-171000000,21,3183000000,-198000000,57,11658000000,577000000,-821000000,5871000000,4041000000,1147000000,4423000000,22,20405000000,2015,2.94
24,ADBE,729257000,33649000,4,356141000,-5241000,86,3468683000,66156000,-309116000,1499297000,207239000,-176000,289985000,7,4055240000,2013,0.58
25,ADBE,776163000,7928000,4,361376000,-6648000,85,3524985000,92981000,-312573000,911086000,80439000,-14684000,268395000,6,4147065000,2014,0.54
26,ADBE,779356000,-79502000,9,873781000,-21297000,84,4051194000,244230000,-535197000,1907231000,80439000,387091000,629551000,13,4795511000,2015,1.26
27,ADBE,866016000,-160416000,16,1435138000,-14234000,86,5034522000,266356000,-707801000,1902068000,80439000,-108000,1168782000,20,5854430000,,
28,ADI,323084000,12377000,14,815323000,1394000,64,1692411000,141836000,-918720000,872241000,3816000,40982000,673487000,26,2633689000,2013,2.19
29,ADI,430621000,-36460000,13,729345000,-3097000,64,1830188000,100025000,2021104000,872789000,13397000,0,629320000,22,2864773000,2014,0.35
30,ADI,438904000,-71198000,14,810114000,-3950000,66,2259262000,113236000,152175000,495341000,17482000,0,696878000,20,3435092000,2015,0.31
31,ADI,431396000,-9392000,17,956921000,-2929000,65,2227173000,95257000,-989183000,1732177000,21937000,857175000,861664000,25,3421409000,2016,0.96
32,ADM,9308000000,1753000000,7,1981000000,0,4,3623000000,589000000,-445000000,6456000000,3887000000,437000000,1375000000,2,90559000000,,
33,ADM,14135000000,296000000,7,2024000000,0,4,3889000000,670000000,104000000,5347000000,4046000000,-2713000000,1342000000,1,89804000000,2013,2.03
34,ADM,15240000000,425000000,11,3130000000,0,6,4768000000,877000000,-105000000,5528000000,4377000000,-1708000000,2248000000,3,81201000000,2014,3.44
35,ADM,13407000000,913000000,10,2284000000,0,6,4020000000,438000000,35000000,5779000000,4340000000,240000000,1849000000,3,67702000000,2015,2.99
36,ADS,490095000,-49219000,80,682904000,5280000,34,1249299000,260648000,-1389770000,4708486000,0,2334253000,422256000,12,3641390000,2012,8.44
37,ADS,472326000,-33414000,58,793412000,-11758000,33,1424146000,297242000,-1453163000,6002708000,0,928674000,496170000,11,4319063000,2013,10.09
38,ADS,914058000,-156003000,21,837941000,-15854000,31,1658961000,321801000,-2379208000,8134248000,0,3808137000,506293000,10,5302940000,2014,8.72
39,ADS,1010619000,8307000,30,931676000,-25309000,30,1957046000,326248000,-2899032000,10136018000,0,3009130000,596541000,9,6439746000,2015,8.91
40,ADSK,396700000,-98100000,12,310000000,2000000,90,2073700000,62600000,-300000000,745600000,411100000,745600000,247400000,11,2312200000,2013,1.09
41,ADSK,375300000,72300000,10,279900000,-2200000,88,1999600000,51100000,64900000,746400000,277300000,0,228800000,10,2273900000,2014,1.02
42,ADSK,499300000,-17300000,4,83000000,-5000000,86,2170100000,1200000,-196100000,743100000,273000000,0,81800000,3,2512200000,2015,0.36
43,ADSK,522100000,-195500000,20,-20300000,-5300000,85,2133400000,310200000,-544100000,1487700000,532300000,748300000,-330500000,13,2504100000,2016,-1.46
44,AEE,671000000,30000000,15,829000000,0,40,2304000000,307000000,-19000000,5802000000,408000000,-26000000,-974000000,17,5781000000,2012,-4.01
45,AEE,947000000,-60000000,5,829000000,0,40,2348000000,311000000,-17000000,5504000000,494000000,247000000,295000000,5,5838000000,2013,1.19
46,AEE,842000000,31000000,9,970000000,0,41,2467000000,377000000,-8000000,6085000000,549000000,547000000,592000000,10,6053000000,2014,2.42
47,AEE,909000000,83000000,9,948000000,0,43,2597000000,363000000,-2000000,6880000000,556000000,664000000,636000000,10,6098000000,2015,2.6
48,AEP,2185000000,-16000000,8,1822000000,0,57,8550000000,604000000,-180000000,15586000000,2074000000,473000000,1259000000,8,14945000000,2012,2.6
49,AEP,2333000000,22900000,9,2093300000,0,55,8091200000,677700000,-112200000,16828000000,2229000000,317000000,1484200000,10,14813500000,2013,3.04
50,AEP,2360000000,-60300000,10,2402900000,0,53,8692900000,902600000,-152100000,16012000000,2389900000,767400000,1638000000,10,16378600000,2014,3.34
51,AEP,2624000000,200200000,11,2622900000,0,55,9019700000,919600000,-60000000,17740900000,2428200000,393700000,2052300000,12,16453200000,,
52,AFL,3858000000,-199000000,18,4302000000,-153000000,33,8290000000,1436000000,-17472000000,10629000000,1.17E+11,2622000000,2866000000,11,25364000000,2012,6.14
53,AFL,3718000000,-8000000,22,4816000000,-90000000,36,8598000000,1658000000,-11056000000,10717000000,1.07E+11,2490000000,3158000000,13,23939000000,2013,6.8
54,AFL,5293000000,-7000000,16,4491000000,-47000000,37,8355000000,1540000000,-4271000000,7475000000,1.03E+11,1668000000,2951000000,13,22728000000,2014,6.54
55,AFL,4340000000,147000000,14,3862000000,0,37,7823000000,1329000000,-4811000000,5952000000,1.02E+11,-18000000,2533000000,12,20872000000,2015,5.88
56,AIG,0,3085000000,4,2891000000,16000000,47,33469000000,-808000000,16730000000,48500000000,3.86E+11,-2489000000,3438000000,5,71214000000,2012,
57,AIG,0,2174000000,9,9368000000,-92000000,50,34214000000,360000000,7049000000,41693000000,3.69E+11,-8962000000,9085000000,13,68874000000,2013,6.16
58,AIG,0,2692000000,7,10501000000,-74000000,48,30795000000,2927000000,14406000000,31217000000,3.47E+11,-9473000000,7529000000,12,64406000000,2014,5.27
59,AIG,0,1455000000,2,3281000000,-39000000,37,21746000000,1059000000,8514000000,29350000000,3.31E+11,-2938000000,2196000000,4,58327000000,2015,1.69
60,AIV,344358000,30716000,14,-19614000,0,60,572156000,-858000,8306000,0,0,-204539000,132456000,14,958511000,2012,0.61
61,AIV,330756000,4592000,21,32637000,0,61,594002000,-1959000,-116098000,0,0,-188911000,207290000,21,974053000,2013,1.4
62,AIV,320996000,9039000,25,47428000,0,61,603399000,-20047000,26315000,0,0,-263166000,309249000,31,984363000,2014,2.06
63,AIV,355098000,619000,15,63866000,0,63,616062000,-27524000,-429000,0,0,-247022000,248710000,25,981310000,2015,1.52
64,AIZ,1901799000,259904000,10,789699000,-23742000,26,2337721000,300792000,-334289000,1821828000,13918746000,664951000,488907000,5,9047657000,2013,6.38
65,AIZ,2832604000,-1037596000,9,744137000,-28126000,22,2288090000,273230000,136941000,1403329000,13925074000,-467330000,470907000,5,10381653000,2014,6.52
66,AIZ,2182538000,-93895000,3,201181000,-56231000,16,1658870000,59626000,236527000,1391801000,12615565000,0,141555000,1,10325494000,2015,2.08
67,AIZ,2080962000,9275000,14,848588000,-16146000,30,2280552000,283238000,822048000,1274033000,11361411000,-123406000,565350000,8,7531780000,,
68,AJG,2525300000,-91300000,13,291000000,-4800000,100,3179600000,6400000,0,2979700000,0,601500000,268600000,8,3179600000,2013,2.08
69,AJG,3247000000,69300000,9,291500000,27900000,100,4626500000,-36000000,0,4748300000,0,817000000,303400000,7,4626500000,2014,1.98
70,AJG,3689800000,-258900000,10,293500000,-15100000,100,5392400000,-95600000,0,4948800000,0,78900000,356800000,7,5392400000,2015,2.07
71,AJG,3768200000,-240000000,12,356900000,-21700000,100,5594800000,-88100000,0,5140700000,0,396800000,414400000,7,5594800000,,
72,AKAM,176378000,-2108000,9,321591000,-89000,61,844047000,117602000,-222277000,0,657659000,0,203989000,15,1373947000,2012,1.15
73,AKAM,224095000,-67184000,11,419554000,-3655000,68,1066835000,126067000,-19750000,0,573026000,0,293487000,19,1577922000,2013,1.65
74,AKAM,282098000,-58397000,11,479776000,-10532000,69,1352931000,145828000,-479392000,604851000,869992000,660873000,333948000,17,1963874000,2014,1.87
75,AKAM,278148000,-56247000,10,456624000,-10036000,67,1471828000,135218000,153060000,624288000,774674000,0,321406000,15,2197448000,2015,1.8
76,ALB,372309000,-25992000,17,368212000,-2031000,36,898843000,80433000,-26574000,686588000,207141000,-14390000,311536000,12,2519154000,2012,3.49
77,ALB,411809000,-65906000,25,538442000,12472000,36,850471000,134445000,169000,1054310000,212178000,-18733000,413171000,17,2394270000,2013,4.93
78,ALB,428790000,36221000,10,213179000,-43276000,32,770848000,18484000,-40275000,2223035000,194042000,1882180000,133316000,5,2445548000,2014,1.69
79,ALB,810634000,-8788000,10,358187000,2154000,33,1196872000,29122000,3154000,3174674000,455417000,-376241000,334906000,9,3651335000,2015,3.01
80,ALK,806000000,9000000,22,514000000,0,50,2338000000,198000000,-82000000,871000000,39000000,-275000000,316000000,7,4657000000,2012,4.47
81,ALK,899000000,-19000000,25,816000000,0,54,2801000000,308000000,-129000000,754000000,0,-161000000,508000000,10,5156000000,2013,7.26
82,ALK,923000000,-110000000,28,975000000,0,57,3043000000,370000000,143000000,686000000,0,-68000000,605000000,11,5368000000,2014,4.47
83,ALK,1022000000,47000000,35,1312000000,0,65,3663000000,464000000,-152000000,571000000,0,-116000000,848000000,15,5598000000,2015,6.61
84,ALL,0,-1685000000,11,3306000000,0,35,11697000000,1000000000,1853000000,6057000000,95723000000,141000000,2306000000,7,33315000000,2012,4.71
85,ALL,0,-934000000,11,3396000000,0,43,14679000000,1116000000,1811000000,6201000000,94979000000,-356000000,2280000000,7,34507000000,2013,4.87
86,ALL,0,-1325000000,13,4236000000,0,40,14046000000,1386000000,1531000000,5140000000,79164000000,-1006000000,2850000000,8,35239000000,2014,6.37
87,ALL,0,-312000000,11,3282000000,0,36,12816000000,1111000000,1045000000,5124000000,76205000000,-20000000,2171000000,6,35653000000,2015,5.12
88,ALLE,418500000,27900000,49,223400000,-2900000,42,861500000,175000000,0,1272000000,0,1338900000,32300000,2,2069600000,,
89,ALLE,379400000,-8000000,3650,267900000,-8000000,40,853700000,84200000,0,1215000000,0,-78000000,175200000,8,2118300000,2014,1.82
90,ALLE,381500000,-13500000,601,209300000,-9000000,42,869100000,54600000,12300000,1457500000,0,278300000,153900000,7,2068100000,2015,1.6
91,ALLE,381400000,-19800000,202,295000000,-4800000,44,985300000,63800000,14100000,1415600000,0,-64400000,229100000,10,2238000000,,
92,ALXN,423940000,-116439000,11,526269000,-1491000,89,1373790000,273374000,-988497000,97230000,0,-36000000,252895000,16,1551346000,2013,1.29
93,ALXN,439248000,-28000000,20,872000000,-10000000,92,2060000000,215000000,-85000000,116599000,0,-55000000,657000000,29,2234000000,2014,3.32
94,ALXN,460000000,-116000000,2,498000000,-9000000,91,2371000000,354000000,635000000,3405000000,0,3425000000,144000000,6,2604000000,2015,0.68
95,ALXN,572000000,-122000000,5,576000000,-7000000,92,2826000000,177000000,47000000,3121000000,0,-375000000,399000000,13,3084000000,,
96,AMAT,1649000000,-404000000,4,350000000,0,40,2991000000,94000000,406000000,1946000000,1005000000,0,256000000,3,7509000000,2013,0.21
97,AMAT,1883000000,-21000000,14,1448000000,0,42,3843000000,376000000,67000000,1947000000,935000000,0,1072000000,12,9072000000,2014,0.88
98,AMAT,1833000000,-61000000,18,1598000000,0,41,3952000000,221000000,-62000000,3342000000,946000000,2581000000,1377000000,14,9659000000,2015,1.13
99,AMAT,2056000000,-542000000,24,2013000000,0,42,4511000000,292000000,-156000000,3143000000,929000000,-1207000000,1721000000,16,10825000000,2016,1.56
100,AME,559315000,-4225000,18,662475000,4320000,35,1180081000,203343000,0,1133121000,123864000,177887000,459132000,14,3334213000,2012,1.9
101,AME,601230000,5247000,16,724795000,7177000,35,1270494000,207796000,0,1141750000,223694000,-44931000,516999000,14,3594136000,2013,2.12
102,AME,649943000,-35258000,18,804832000,-26056000,35,1424947000,220372000,0,1427825000,154322000,326591000,584460000,15,4021964000,2014,2.39
103,AME,639097000,-6995000,18,806380000,-26629000,36,1425015000,215521000,0,1556045000,180775000,244754000,590859000,15,3974295000,2015,2.46
104,AMG,0,-41600000,8,495200000,3800000,100,1748600000,83800000,-782300000,1630600000,1315600000,411400000,174000000,10,1748600000,2012,3.36
